Data Com ,,,,,,,,,,
,lab 1,lab 2,lab 3,lab 4,lab 5,lab 6,lab 7,lab 8,lab 9,lab 10
55010001,1,0,1,0,1,0,0,0,0,0
55010002,1,0,1,0,1,0,0,0,0,0
55010003,1,0,1,0,1,0,0,0,0,0
55010004,1,0,1,0,1,0,0,0,0,0
55010005,1,0,1,0,1,0,0,0,0,0
55010006,1,0,1,0,1,0,0,0,0,0
55010007,1,0,1,0,1,0,0,0,0,0
55010008,1,0,1,0,1,0,0,0,0,0
55010009,1,0,1,0,1,0,0,0,0,0
55010010,1,0,1,0,1,0,0,0,0,0
55010011,1,0,1,0,1,0,0,0,0,0
55010012,1,0,1,0,1,0,0,0,0,0
55010013,1,0,1,0,1,0,0,0,0,0
55010014,1,0,1,0,1,0,0,0,0,0
55010015,1,0,1,0,1,0,0,0,0,0
55010016,1,0,1,0,1,0,0,0,0,0
55010017,1,0,1,0,1,0,0,0,0,0
55010018,1,0,1,0,1,0,0,0,0,0
55010019,1,0,1,0,1,0,0,0,0,0
55010020,1,0,1,0,1,0,0,0,0,0
55010021,1,0,0,0,0,0,0,0,0,0
55010022,1,0,0,0,0,0,0,0,0,0
55010911,1,0,0,0,0,0,0,0,0,0
55010877,1,0,0,0,0,0,0,0,0,0
55010711,1,0,0,0,0,0,0,0,0,0
55010000,1,0,0,0,0,0,0,0,0,0
55010888,1,0,0,0,0,0,0,0,0,0
55010999,1,0,0,0,0,0,0,0,0,0
